N,t,Q,V,E,T
328,29540.0014030747,2.05194135063096,3.7617524,191.6,25.815048
328,29550.0014035497,2.05263597867863,3.7617524,191.6,25.941139
328,29560.0014040247,2.05333059735836,3.76191,191.6,25.822931
328,29570.0014044996,2.05402522517622,3.7619886,191.6,25.964781
328,29580.0014049746,2.05471984902149,3.7621069,191.6,25.649555
328,29590.0014054496,2.05541447153155,3.7622645,191.6,25.791407
328,29600.0014059246,2.05610909577073,3.7624218,191.6,25.901737
328,29610.0014063995,2.05680371597161,3.7624218,191.7,25.791407
328,29620.0014068745,2.05749834325323,3.7625794,191.7,25.822931
328,29630.0014073495,2.05819296643085,3.7626188,191.7,25.972664
328,29640.0014078245,2.05888759321996,3.7628157,191.7,25.791407
328,29650.0014082994,2.05958221837841,3.7628553,191.7,25.822931
328,29660.0014087744,2.06027684260661,3.7630126,191.7,25.744123
328,29670.0014092494,2.06097147243814,3.7630126,191.7,25.885975
328,29680.0014097244,2.06166610322177,3.7630916,191.7,25.917496
328,29690.0014101993,2.06236072892742,3.7633278,191.7,25.807169
328,29700.0014106743,2.06305535383416,3.7634065,191.7,25.854452
328,29710.0014111493,2.06374998334832,3.7635248,191.8,25.893854
328,29720.0014116242,2.06444461593771,3.7636034,191.8,25.972664
328,29730.0014120992,2.06513924771724,3.7638004,191.8,25.933258
328,29740.0014125742,2.0658338801425,3.76384,191.8,25.728361
328,29750.0014130492,2.06652851083861,3.7638793,191.8,25.681078
328,29760.0014135241,2.06722313878783,3.7639976,191.8,25.807169
328,29770.0014139991,2.06791776726228,3.7641945,191.8,25.885975
328,29780.0014144741,2.06861239746588,3.7642338,191.8,25.767763
328,29790.0014149491,2.06930701798415,3.7644308,191.8,25.759884
328,29800.001415424,2.0700016444449,3.7644701,191.8,25.720482
328,29810.001415899,2.07069627900415,3.7645884,191.8,25.878096
328,29820.001416374,2.07139091641977,3.7647457,191.8,25.917496
328,29830.001416849,2.07208554782724,3.7647457,191.8,25.870213
328,29840.0014173239,2.072780178392,3.7649822,191.8,25.988422
328,29850.0014177989,2.07347480983226,3.7650216,191.8,25.767763
328,29860.0014182739,2.07416944314397,3.7651002,191.8,25.791407
328,29870.0014187489,2.07486407462801,3.7652185,191.9,25.688957
328,29880.0014192238,2.07555870932954,3.7653365,191.9,25.925379
328,29890.0014196988,2.07625333484922,3.7654154,191.9,25.822931
328,29900.0014201738,2.0769479658627,3.765573,191.9,25.917496
328,29910.0014206488,2.07764259466551,3.7656517,191.9,26.035707
