N,t,Q,I,V,E,T
380,28070.0013332535,1.95101005596764,250.22498,3.8275108,336.1,27.31625
380,28080.0013337284,1.95170511270228,250.20528,3.8275895,336.1,27.205353
380,28090.0013342034,1.95240017034487,250.22498,3.8277471,336.1,27.442993
380,28100.0013346784,1.95309522982632,250.22498,3.828023,336.1,27.442993
380,28110.0013351534,1.95379028988864,250.16585,3.828141,336.1,27.324171
380,28120.0013356283,1.95448535032245,250.22498,3.8283379,336.2,27.070688
380,28130.0013361033,1.95518040051042,250.22498,3.8284562,336.2,27.149902
380,28140.0013365783,1.95587545055589,250.20528,3.8287711,336.2,27.300407
380,28150.0013370533,1.95657049315827,250.26437,3.8288107,336.2,27.118217
380,28160.0013375282,1.95726553758862,250.24467,3.8288894,336.2,27.466755
380,28170.0013380032,1.95796059504572,250.14615,3.8290863,336.2,27.324171
380,28180.0013384782,1.95865564354716,250.16585,3.8292832,336.2,27.379622
380,28190.0013389531,1.95935069811416,250.26437,3.8294408,336.2,27.609341
380,28200.0013394281,1.96004575390676,250.20528,3.8296378,336.2,27.23704
380,28210.0013399031,1.96074081101306,250.24467,3.8297558,336.3,27.276644
380,28220.0013403781,1.96143586717836,250.24467,3.8299923,336.3,27.292486
380,28230.0013408531,1.96213091978526,250.18555,3.8301497,336.3,27.49052
380,28240.001341328,1.96282598327376,250.22498,3.8302679,336.3,27.276644
380,28250.001341803,1.96352103920783,250.26437,3.8305042,336.3,27.284565
380,28260.001342278,1.96421610256439,250.30377,3.8307011,336.3,27.332094
380,28270.0013427529,1.9649111668518,250.24467,3.83078,336.3,27.102375
380,28280.0013432279,1.96560622908142,250.20528,3.830977,336.3,27.442993
380,28290.0013437029,1.96630128737,250.18555,3.8311739,336.3,27.078609
380,28300.0013441779,1.96699634109337,250.24467,3.8312919,336.3,27.347937
380,28310.0013446529,1.96769139713807,250.16585,3.8314495,336.3,27.347937
380,28320.0013451278,1.96838644948248,250.20528,3.8315678,336.4,27.181589
380,28330.0013456028,1.96908150473888,250.28407,3.8318827,336.4,27.332094
380,28340.0013460778,1.96977656119957,250.24467,3.8319616,336.4,27.458834
380,28350.0013465527,1.97047161139775,250.20528,3.832119,336.4,27.244961
380,28360.0013470277,1.97116665578379,250.18555,3.8322766,336.4,27.347937
380,28370.0013475027,1.97186170243566,250.28407,3.8325129,336.4,27.300407
