Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity
17.591,4.16556695,0,22.57901764,23.47432864,10.55182124,-0.856866948,500,32,100,0,21.875,0,1.132
17.691,4.16556695,0,22.57901764,23.48421139,10.58095152,-0.813033868,500,32,100,0,21.875,0,1.132
17.791,4.16556695,0,22.59880511,23.49409406,10.55505794,-0.832957995,500,32,100,0,21.875,0,1.132
17.891,4.165606817,0,22.56912378,23.49409406,10.55829463,-0.896715203,500,32,100,0,21.875,0,1.132
17.991,4.165527082,0,22.57901764,23.48421139,10.50974417,-0.777170439,500,32,100,0,21.875,0,1.132
18.091,4.165527082,0,22.58891142,23.49409406,10.55505794,-0.78514009,500,32,100,0,21.875,0,1.132
18.191,4.165527082,0,22.56912378,23.50397664,10.57124143,-0.844912472,500,32,100,0,21.875,0,1.132
18.291,4.165527082,0,22.57901764,23.50397664,10.56153133,-0.824988344,501,32,100,0,21.875,0,1.132
18.391,4.165527082,0,22.58891142,23.50397664,10.56153133,-0.781155264,501,32,100,0,21.875,0,1.132
18.491,4.165527082,0,22.58891142,23.49409406,10.52269096,-0.844912472,501,32,100,0,21.875,0,1.133
18.591,4.165606817,0,22.58891142,23.48421139,10.54534784,-0.813033868,501,32,100,0,21.875,0,1.133
18.691,4.16556695,0,22.57901764,23.48421139,10.50650747,-0.892730377,501,32,100,0,21.875,0,1.133
18.791,4.165527082,0,22.59880511,23.48421139,10.54534784,-0.888745552,501,32,100,0,21.875,0,1.133
18.891,4.165606817,0,22.60869872,23.48421139,10.54534784,-0.824988344,501,32,100,0,21.875,0,1.133
18.991,4.165606817,0,22.58891142,23.48421139,10.54534784,-0.797094566,501,32,100,0,21.875,0,1.133
19.091,4.165606817,0,22.56912378,23.48421139,10.55182124,-0.876791076,501,32,100,0,21.875,0,1.133
19.191,4.165606817,0,22.55922983,23.49409406,10.53563775,-0.817018693,501,32,100,0,21.875,0,1.133
19.291,4.165646685,0,22.55922983,23.48421139,10.51945426,-0.793109741,501,32,100,0,21.875,0,1.133
19.391,4.165606817,0,22.56912378,23.50397664,10.52916435,-0.860851774,502,32,100,0,21.875,0,1.133
19.491,4.165527082,0,22.58891142,23.49409406,10.55182124,-0.888745552,502,32,100,0,21.875,0,1.133
19.591,4.165527082,0,22.59880511,23.47432864,10.54858454,-0.781155264,502,32,100,0,21.875,0,1.133
19.691,4.16556695,0,22.58891142,23.49409406,10.58418822,-0.777170439,502,32,100,0,21.875,0,1.133
19.791,4.16556695,0,22.57901764,23.48421139,10.50974417,-0.824988344,502,32,100,0,21.875,0,1.133
19.891,4.165606817,0,22.57901764,23.48421139,10.60037171,-0.844912472,502,32,100,0,21.875,0,1.133
19.991,4.165646685,0,22.56912378,23.46444579,10.59713501,-0.813033868,502,32,100,0,21.875,0,1.133
20.091,4.165606817,0,22.56912378,23.45456286,10.54534784,-0.781155264,502,32,100,0,21.875,0,1.133
20.191,4.165527082,0,22.57901764,23.49409406,10.57447812,-0.892730377,502,32,100,0,21.875,0,1.133
20.291,4.165606817,0,22.55922983,23.50397664,10.59066161,-0.813033868,502,32,100,0,21.875,0,1.133
20.391,4.165606817,0,22.55922983,23.48421139,10.55182124,-0.856866948,502,32,100,0,21.875,0,1.133
20.491,4.165527082,0,22.59880511,23.50397664,10.55829463,-0.761231137,504,32,100,0,21.875,0,1.133
20.591,4.165606817,0,22.58891142,23.47432864,10.57124143,-0.82897317,504,32,100,0,21.875,0,1.133
20.691,4.165606817,0,22.56912378,23.49409406,10.52592766,-0.817018693,504,32,100,0,21.875,0,1.133
20.791,4.16556695,0,22.59880511,23.47432864,10.56476803,-0.801079391,504,32,100,0,21.875,0,1.133
20.891,4.16556695,0,22.57901764,23.49409406,10.53887445,-0.789124915,504,32,100,0,21.875,0,1.133
20.991,4.165606817,0,22.55922983,23.48421139,10.57124143,-0.856866948,504,32,100,0,21.875,0,1.133
21.091,4.165606817,0,22.55922983,23.46444579,10.55505794,-0.880775901,504,32,100,0,21.875,0,1.133
21.191,4.16556695,0,22.54933579,23.48421139,10.52592766,-0.840927646,504,32,100,0,21.875,0,1.133
21.291,4.165726421,0,22.55922983,23.49409406,10.55182124,-0.864836599,504,32,100,0,21.875,0,1.133
21.391,4.165606817,0,22.59880511,23.48421139,10.56476803,-0.753261486,504,32,100,0,21.875,0,1.133
21.491,4.165686553,0,22.55922983,23.51385913,10.52269096,-0.805064217,504,32,100,0,21.875,0,1.133
