# ESC Time [s],Cell Temperature [K]
58.8,383.5923434
58.9,383.5826488
59,383.5826488
59.1,383.5826488
59.2,383.5535651
59.3,383.5632596
59.4,383.5438707
59.5,383.5535651
59.6,383.5632596
59.7,383.5438707
59.8,383.5438707
59.9,383.5535651
60,383.5438707
60.1,383.5632596
60.2,383.5438707
60.3,383.5535651
60.4,383.5535651
60.5,383.5147877
60.6,383.5341763
60.7,383.5632596
60.8,383.5535651
60.9,383.5632596
61,383.5729542
61.1,383.6020382
61.2,383.5826488
61.3,383.5826488
61.4,383.5923434
61.5,383.6020382
61.6,383.5923434
61.7,383.6311226
61.8,383.6408175
61.9,383.6699026
62,383.6408175
62.1,383.6699026
62.2,383.6795977
62.3,383.6699026
62.4,383.6989881
62.5,383.7183788
62.6,383.7377696
62.7,383.7474651
62.8,383.7765519
62.9,383.7765519
63,383.834727
63.1,383.844423
63.2,383.8541191
63.3,383.8929039
63.4,383.9026003
63.5,383.9316896
63.6,383.9316896
63.7,383.9607794
63.8,383.9704761
63.9,383.9704761
64,383.9898697
64.1,383.9898697
64.2,384.0092635
64.3,384.0286575
64.4,384.0189605
64.5,384.0286575
64.6,384.0480517
64.7,384.0480517
64.8,384.0771434
64.9,384.0868408
65,384.1062356
65.1,384.145026
65.2,384.1256307
65.3,384.1353283
65.4,384.1547237
65.5,384.145026
65.6,384.1838171
65.7,384.1838171
65.8,384.2129111
65.9,384.203213
66,384.2517037
66.1,384.2517037
66.2,384.261402
66.3,384.261402
66.4,384.3001957
66.5,384.3001957
66.6,384.3292916
66.7,384.3195929
66.8,384.3486891
66.9,384.3583879
67,384.3486891
67.1,384.3680868
67.2,384.3874847
67.3,384.3971837
67.4,384.416582
67.5,384.4068828
67.6,384.4262812
67.7,384.4359804
67.8,384.4553791
67.9,384.4553791
68,384.5038766
68.1,384.5038766
68.2,384.5135763
68.3,384.523276
68.4,384.5523755
68.5,384.5717755
68.6,384.5620755
68.7,384.5814755
68.8,384.6008758
68.9,384.610576
69,384.6299765
69.1,384.6396769
69.2,384.6396769
69.3,384.6881795
69.4,384.6881795
69.5,384.6978802
69.6,384.7075809
69.7,384.7172817
69.8,384.7657865
69.9,384.7463844
70,384.7560854
70.1,384.8142925
70.2,384.8239939
70.3,384.8045912
70.4,384.8725016
70.5,384.8627999
70.6,384.8627999
70.7,384.9016068
70.8,384.9210106
70.9,384.9307125
71,384.9501166
71.1,384.9501166
71.2,384.9598187
71.3,384.9986277
71.4,384.9889254
71.5,385.0083301
71.6,385.0180326
71.7,385.0471402
71.8,385.0762483
71.9,385.0665455
72,385.1150599
72.1,385.1441691
72.2,385.1538723
72.3,385.1635755
72.4,385.1829822
72.5,385.202389
72.6,385.202389
72.7,385.2509071
72.8,385.2509071
72.9,385.3091305
73,385.2897225
73.1,385.3188346
73.2,385.3479472
73.3,385.3770603
73.4,385.3770603
73.5,385.3867647
73.6,385.4255831
73.7,385.4158785
73.8,385.4644024
73.9,385.4644024
74,385.5032225
74.1,385.5226329
74.2,385.5517488
74.3,385.5808653
74.4,385.5808653
74.5,385.6002765
74.6,385.619688
74.7,385.619688
74.8,385.6390996
74.9,385.6779236
75,385.6973359
75.1,385.7361612
75.2,385.7264548
75.3,385.7555741
75.4,385.7555741
75.5,385.8138142
75.6,385.8235211
75.7,385.8526421
75.8,385.8817635
75.9,385.9011781
76,385.8817635
76.1,385.9497154
76.2,385.9497154
76.3,385.9691307
76.4,385.9885462
76.5,386.0273779
76.6,386.0467941
76.7,386.0467941
76.8,386.0953355
76.9,386.1050439
77,386.1147524
77.1,386.1535869
77.2,386.1924222
77.3,386.1827133
77.4,386.2021312
77.5,386.2312584
77.6,386.2603862
77.7,386.2603862
77.8,386.2992239
77.9,386.3283527
78,386.3574821
78.1,386.367192
78.2,386.3769019
78.3,386.396322
78.4,386.4254524
78.5,386.444873
78.6,386.4740043
78.7,386.5225575
78.8,386.4934254
78.9,386.5516901
79,386.5711121
79.1,386.5905343
79.2,386.6099567
79.3,386.6099567
79.4,386.6682252
79.5,386.6585137
79.6,386.6876485
79.7,386.6973603
79.8,386.7362077
79.9,386.7653438
80,386.775056
80.1,386.8430426
80.2,386.9790237
80.3,387.0664458
80.4,387.1635865
80.5,387.319023
80.6,387.4356095
80.7,387.5619203
80.8,387.7173924
80.9,387.8437238
81,387.9700643
81.1,388.1352928
81.2,388.2713751
81.3,388.4171894
81.4,388.5241278
81.5,388.650518
81.6,388.767194
81.7,388.874154
81.8,388.9713961
81.9,389.0589187
82,389.1561712
82.1,389.2534292
82.2,389.3020603
82.3,389.3701461
82.4,389.4674161
82.5,389.5549639
82.6,389.5744196
82.7,389.6619728
82.8,389.720344
82.9,389.7787173
83,389.8273632
83.1,389.8760104
83.2,389.8954697
83.3,389.934389
83.4,389.963579
83.5,389.9927695
83.6,390.0316909
83.7,390.0414214
83.8,390.1095364
83.9,390.1289984
84,390.1484605
84.1,390.1873855
84.2,390.2263113
84.3,390.2749699
84.4,390.2847018
84.5,390.3138977
84.6,390.3236298
84.7,390.3625588
84.8,390.4014886
84.9,390.4209538
85,390.4306865
85.1,390.4793508
85.2,390.4598849
85.3,390.4793508
85.4,390.5085501
85.5,390.498817
85.6,390.5572167
85.7,390.5864172
85.8,390.5669501
85.9,390.6058846
86,390.6156183
86.1,390.6545539
86.2,390.6642879
86.3,390.674022
86.4,390.6837561
86.5,390.7129589
86.6,390.7129589
86.7,390.7226932
86.8,390.7421621
86.9,390.7421621
87,390.7713658
87.1,390.8005701
87.2,390.7811005
87.3,390.8005701
87.4,390.8297748
87.5,390.8297748
87.6,390.8492449
87.7,390.8687152
87.8,390.8492449
87.9,390.8492449
88,390.8881857
88.1,390.8979211
88.2,390.9173919
88.3,390.9271275
88.4,390.9173919
88.5,390.9465987
88.6,390.9660701
88.7,390.9952776
88.8,391.0244857
88.9,391.0342218
89,391.0342218
89.1,391.0536942
89.2,391.0536942
89.3,391.0536942
89.4,391.0536942
89.5,391.0634305
89.6,391.0634305
89.7,391.0829032
89.8,391.1023762
89.9,391.1121128
90,391.1607964
90.1,391.1121128
90.2,391.1023762
90.3,391.1413228
90.4,391.1218494
90.5,391.1023762
90.6,391.1218494
90.7,391.1510596
90.8,391.1607964
90.9,391.1413228
91,391.1510596
91.1,391.1802703
91.2,391.1802703
91.3,391.1802703
91.4,391.2192186
91.5,391.1802703
91.6,391.1997443
91.7,391.2192186
91.8,391.2386931
91.9,391.2581679
92,391.2679053
92.1,391.297118
92.2,391.2776428
92.3,391.2776428
92.4,391.2873804
92.5,391.297118
92.6,391.3165934
92.7,391.3263312
92.8,391.3165934
92.9,391.3555449
93,391.3555449
93.1,391.3944972
93.2,391.4139737
93.3,391.3750209
93.4,391.4334504
93.5,391.4139737
93.6,391.4529274
93.7,391.4431889
93.8,391.4724046
93.9,391.4626659
94,391.4821432
94.1,391.5113596
94.2,391.5016207
94.3,391.5210984
94.4,391.5016207
94.5,391.5405764
94.6,391.5697937
94.7,391.5697937
94.8,391.5990115
94.9,391.5990115
95,391.6184904
95.1,391.6184904
95.2,391.6184904
95.3,391.6671884
95.4,391.6671884
95.5,391.6574487
95.6,391.686668
95.7,391.686668
95.8,391.6769282
95.9,391.6964079
96,391.7061478
96.1,391.7548484
96.2,391.7451081
96.3,391.7548484
96.4,391.774329
96.5,391.8132908
96.6,391.7840693
96.7,391.8230314
96.8,391.8619944
96.9,391.8522536
97,391.8425128
97.1,391.8425128
97.2,391.8619944
97.3,391.8619944
97.4,391.8717353
97.5,391.9009582
97.6,391.9009582
97.7,391.9106994
97.8,391.9301817
97.9,391.9594057
98,391.9496643
98.1,391.939923
98.2,391.9788886
98.3,391.9788886
98.4,391.9691471
98.5,392.0081134
98.6,392.0373387
98.7,392.0373387
98.8,392.0568225
98.9,392.0568225
99,392.0568225
99.1,392.0568225
99.2,392.0763066
99.3,392.1152753
99.4,392.105533
99.5,392.13476
99.6,392.1152753
99.7,392.1639875
99.8,392.1542449
99.9,392.1639875
100,392.1737301
100.1,392.1834727
100.2,392.1737301
100.3,392.1932154
100.4,392.1932154
100.5,392.1737301
100.6,392.212701
100.7,392.2321868
100.8,392.2321868
100.9,392.2321868
101,392.2516728
101.1,392.2614159
101.2,392.2711591
101.3,392.2711591
101.4,392.3003889
101.5,392.2809023
101.6,392.3296192
101.7,392.3101323
101.8,392.3198757
101.9,392.3393627
102,392.3491063
102.1,392.3491063
102.2,392.3783374
102.3,392.3685937
102.4,392.3978251
102.5,392.3880812
102.6,392.417313
102.7,392.417313
102.8,392.4270571
102.9,392.4368012
103,392.4465453
103.1,392.4465453
103.2,392.4368012
103.3,392.4562895
103.4,392.4757781
103.5,392.4660338
103.6,392.4757781
103.7,392.4757781
103.8,392.5050114
103.9,392.5245005
104,392.5147559
104.1,392.5439899
104.2,392.5634794
104.3,392.5634794
104.4,392.5634794
104.5,392.5634794
104.6,392.5732243
104.7,392.5829692
104.8,392.6024593
104.9,392.6024593
105,392.5829692
105.1,392.5732243
105.2,392.6219495
105.3,392.64144
105.4,392.6511853
105.5,392.64144
105.6,392.6609306
105.7,392.6511853
105.8,392.6804216
105.9,392.6999127
106,392.6901671
106.1,392.6999127
106.2,392.719404
106.3,392.719404
106.4,392.719404
106.5,392.7291498
106.6,392.7486415
106.7,392.7388956
106.8,392.7681334
106.9,392.7583874
107,392.8071179
107.1,392.7778794
107.2,392.7778794
107.3,392.8071179
107.4,392.8168641
107.5,392.8168641
107.6,392.8266104
107.7,392.8266104
107.8,392.8363568
107.9,392.8363568
108,392.8071179
108.1,392.8266104
108.2,392.8363568
108.3,392.8461032
108.4,392.8850895
108.5,392.8655962
108.6,392.8655962
108.7,392.8850895
108.8,392.8753428
108.9,392.8948362
109,392.8753428
109.1,392.8948362
109.2,392.9045829
109.3,392.8850895
109.4,392.8850895
109.5,392.8753428
109.6,392.9045829
109.7,392.9045829
109.8,392.9143298
109.9,392.8948362
110,392.9045829
110.1,392.9338235
110.2,392.9240766
110.3,392.9338235
110.4,392.9045829
110.5,392.9143298
110.6,392.9338235
110.7,392.9338235
110.8,392.9338235
110.9,392.9338235
111,392.9240766
111.1,392.9240766
111.2,392.9630647
111.3,392.9728118
111.4,392.9435705
111.5,392.9435705
111.6,392.9533176
111.7,392.9728118
111.8,392.9923063
111.9,393.0020536
112,392.9728118
112.1,392.9728118
112.2,392.9728118
112.3,393.0020536
112.4,393.0020536
112.5,392.9923063
112.6,393.0118009
112.7,393.0312958
112.8,393.0215484
112.9,393.0020536
113,393.0118009
113.1,393.0118009
113.2,393.0312958
113.3,393.0118009
113.4,393.0215484
113.5,393.0312958
113.6,393.0312958
113.7,393.0702863
113.8,393.0605386
113.9,393.050791
114,393.0410434
114.1,393.0312958
114.2,393.050791
114.3,393.0800341
114.4,393.0800341
114.5,393.0800341
114.6,393.0800341
114.7,393.0897819
114.8,393.0897819
114.9,393.0897819
115,393.0800341
115.1,393.1287737
115.2,393.1190256
115.3,393.1092777
115.4,393.1092777
115.5,393.1190256
115.6,393.1287737
115.7,393.1287737
115.8,393.1482699
115.9,393.1482699
116,393.1482699
116.1,393.1482699
116.2,393.1482699
116.3,393.1580181
116.4,393.1580181
116.5,393.1677664
116.6,393.1775147
116.7,393.1580181
116.8,393.1775147
116.9,393.1970115
117,393.1580181
117.1,393.1775147
117.2,393.2165085
117.3,393.1970115
117.4,393.1970115
117.5,393.20676
117.6,393.20676
117.7,393.1970115
117.8,393.2457544
117.9,393.2262571
118,393.2262571
118.1,393.2262571
118.2,393.20676
118.3,393.2165085
118.4,393.2360057
118.5,393.2360057
118.6,393.20676
118.7,393.2262571
118.8,393.2360057
118.9,393.2457544
119,393.2457544
119.1,393.265252
119.2,393.2555032
119.3,393.265252
119.4,393.265252
119.5,393.265252
119.6,393.265252
119.7,393.265252
119.8,393.265252
119.9,393.2847498
120,393.2555032
120.1,393.265252
120.2,393.2750009
120.3,393.2750009
120.4,393.3042478
120.5,393.265252
120.6,393.3042478
120.7,393.2944988
120.8,393.2847498
120.9,393.2750009
121,393.2750009
121.1,393.3042478
121.2,393.2944988
121.3,393.3042478
121.4,393.3139969
121.5,393.3042478
121.6,393.323746
121.7,393.2944988
121.8,393.3139969
121.9,393.3139969
122,393.2944988
122.1,393.3334952
122.2,393.3432445
122.3,393.323746
122.4,393.2944988
122.5,393.3139969
122.6,393.323746
122.7,393.323746
122.8,393.3529938
122.9,393.3432445
123,393.3432445
123.1,393.3529938
123.2,393.3529938
123.3,393.3432445
123.4,393.3334952
123.5,393.3432445
123.6,393.323746
123.7,393.3627432
123.8,393.3529938
123.9,393.3822421
124,393.3627432
124.1,393.3432445
124.2,393.3724926
124.3,393.3627432
124.4,393.3529938
124.5,393.3529938
124.6,393.3627432
124.7,393.3627432
124.8,393.3724926
124.9,393.3529938
125,393.3822421
125.1,393.3822421
125.2,393.3627432
125.3,393.3919916
125.4,393.3919916
125.5,393.3724926
125.6,393.3919916
125.7,393.3724926
125.8,393.3724926
125.9,393.4017412
126,393.3919916
126.1,393.3919916
126.2,393.3822421
126.3,393.3919916
126.4,393.4017412
126.5,393.3822421
126.6,393.3627432
126.7,393.4017412
126.8,393.4017412
126.9,393.4017412
127,393.4017412
127.1,393.3822421
127.2,393.3919916
127.3,393.3919916
127.4,393.3822421
127.5,393.4017412
127.6,393.4114908
127.7,393.4114908
127.8,393.4309903
127.9,393.4017412
128,393.4212405
128.1,393.4017412
128.2,393.4017412
128.3,393.3919916
128.4,393.3919916
128.5,393.4114908
128.6,393.4114908
128.7,393.4114908
128.8,393.4017412
128.9,393.4212405
129,393.4114908
129.1,393.4114908
129.2,393.4017412
129.3,393.4114908
129.4,393.4017412
129.5,393.4017412
129.6,393.4114908
129.7,393.4212405
129.8,393.4017412
129.9,393.4212405
130,393.4017412
130.1,393.3529938
130.2,393.4017412
130.3,393.3919916
130.4,393.4114908
130.5,393.4309903
130.6,393.3919916
130.7,393.4114908
130.8,393.3822421
130.9,393.4114908
131,393.3919916
131.1,393.3822421
131.2,393.3919916
131.3,393.3919916
131.4,393.3919916
131.5,393.3822421
131.6,393.4212405
131.7,393.3822421
131.8,393.3919916
131.9,393.3822421
132,393.4017412
132.1,393.3822421
132.2,393.3919916
132.3,393.4017412
132.4,393.3822421
132.5,393.3919916
132.6,393.3724926
132.7,393.3822421
132.8,393.3822421
132.9,393.3627432
133,393.3627432
133.1,393.3627432
133.2,393.3627432
133.3,393.3529938
133.4,393.3529938
133.5,393.3627432
133.6,393.3529938
133.7,393.3529938
133.8,393.3627432
133.9,393.3724926
134,393.3822421
134.1,393.3529938
134.2,393.3627432
134.3,393.3529938
134.4,393.3529938
134.5,393.323746
134.6,393.3529938
134.7,393.3334952
134.8,393.3529938
134.9,393.3627432
135,393.323746
135.1,393.3529938
135.2,393.3529938
135.3,393.3432445
135.4,393.3139969
135.5,393.323746
135.6,393.323746
135.7,393.3432445
135.8,393.2944988
135.9,393.3139969
136,393.3139969
136.1,393.3042478
136.2,393.3139969
136.3,393.3042478
136.4,393.323746
136.5,393.323746
136.6,393.2847498
136.7,393.3042478
136.8,393.3042478
136.9,393.3139969
137,393.323746
137.1,393.323746
137.2,393.3042478
137.3,393.3139969
137.4,393.2847498
137.5,393.3042478
137.6,393.2847498
137.7,393.323746
137.8,393.3042478
137.9,393.2847498
138,393.3139969
138.1,393.2847498
138.2,393.2944988
138.3,393.2944988
138.4,393.3042478
138.5,393.3042478
138.6,393.3042478
138.7,393.3042478
138.8,393.3139969
138.9,393.3042478
139,393.2944988
139.1,393.2944988
139.2,393.2847498
139.3,393.2944988
139.4,393.3042478
139.5,393.2847498
139.6,393.3042478
139.7,393.2944988
139.8,393.265252
139.9,393.2847498
140,393.2750009
140.1,393.323746
140.2,393.3042478
140.3,393.3139969
140.4,393.2847498
140.5,393.323746
140.6,393.2847498
140.7,393.3042478
140.8,393.2847498
140.9,393.265252
141,393.323746
141.1,393.2847498
141.2,393.323746
141.3,393.2847498
141.4,393.2944988
141.5,393.3042478
141.6,393.3139969
141.7,393.2944988
141.8,393.3042478
141.9,393.3139969
142,393.2944988
142.1,393.2847498
142.2,393.3139969
142.3,393.2944988
142.4,393.2847498
142.5,393.2944988
142.6,393.2944988
142.7,393.2944988
142.8,393.2847498
142.9,393.2750009
143,393.2847498
143.1,393.2750009
143.2,393.2944988
